,Gastrocnemius,Tibialis Anterior,Soleus,Vastus Medialis,Vastus Lateralis,Rectus Femoris,Biceps Femoris,Semitendinosus,Gracilis,Gluteus Medius
27319,0.052493256,0.050557952,0.21691279,0.040972743,0.09788531,0.101045676,0.09284501,0.07549508,0.49647474,0.035349257
27320,0.036556207,0.040782824,0.14750835,0.04061657,0.08960174,0.10765551,0.09635315,0.0784863,0.5118251,0.038755525
27321,0.029730942,0.0408935,0.08949314,0.041854188,0.07598837,0.11617827,0.100727975,0.088971205,0.5052199,0.04597729
27322,0.027474647,0.049592596,0.04966767,0.043990146,0.060989667,0.12897272,0.09435319,0.09367552,0.4887561,0.053621575
27323,0.027282676,0.0892162,0.035639722,0.045295406,0.049259987,0.14149055,0.088068455,0.09489545,0.45518667,0.058037296
27324,0.027094467,0.14975195,0.03439883,0.045853853,0.04381596,0.15197325,0.07514871,0.09166558,0.40091226,0.063597895
27325,0.031392608,0.2093503,0.03940023,0.04843821,0.04370171,0.17458913,0.06885112,0.082052484,0.35995218,0.069706514
27326,0.034919746,0.27263188,0.048183504,0.04899549,0.043205354,0.19684218,0.05800851,0.06764654,0.32648382,0.070333
27327,0.038383484,0.34100354,0.058285847,0.051218763,0.043471042,0.21791276,0.05191909,0.05829635,0.29913583,0.068897896
27328,0.036798246,0.39033705,0.0627881,0.051930163,0.04418132,0.22882554,0.048601884,0.05342375,0.27700168,0.070735574
27329,0.037147995,0.4294319,0.06443438,0.051931206,0.04438362,0.23284777,0.048274778,0.050875966,0.25660995,0.07520714
27330,0.03855177,0.4619365,0.064915776,0.052452642,0.045773588,0.22766441,0.047408964,0.048771694,0.23816592,0.080168635
27331,0.039566647,0.48572472,0.0650123,0.051919553,0.046382055,0.2091055,0.04498242,0.046493217,0.22649814,0.07929345
27332,0.038864136,0.49473736,0.065334074,0.050629515,0.04618409,0.18296508,0.042584747,0.044395335,0.22174476,0.07148986
27333,0.037819546,0.49742123,0.06524584,0.05075182,0.04708174,0.1582996,0.041600764,0.043567523,0.21993668,0.065228485
27334,0.036274783,0.5009122,0.06290565,0.050411493,0.047979746,0.13864581,0.040617723,0.043139372,0.21611907,0.0637043
27335,0.035100028,0.5097587,0.05996675,0.048891127,0.04842176,0.12412935,0.040299308,0.044303052,0.21185005,0.065963425
27336,0.034548454,0.5216747,0.058692597,0.047337685,0.049124252,0.112100594,0.041604735,0.04742358,0.2109044,0.0686736
27337,0.035187665,0.53268063,0.05880739,0.046131954,0.05025345,0.10252256,0.043831553,0.051281672,0.21202193,0.07060379
27338,0.036841277,0.54152477,0.05898292,0.045017395,0.051112935,0.09492202,0.046119373,0.05512259,0.2125351,0.07167585
27339,0.038694393,0.5470975,0.05868893,0.044012293,0.051461287,0.08899534,0.048014022,0.058432892,0.21032852,0.07190921
27340,0.040213227,0.5463403,0.057731178,0.043720707,0.05228852,0.08480856,0.049397875,0.060920358,0.20265305,0.072369255
